Module	lymph.node	stomach	appendix	parathyroid.gland	skeletal.muscle	endometrium	urinary.bladder	seminal.vesicle	colon	gallbladder	skin	adipose.tissue	esophagus	prostate	rectum	kidney	duodenum	placenta	testis	cervix..uterine	fallopian.tube	liver	spleen	bone.marrow	tonsil	breast	epididymis	adrenal.gland	thyroid.gland	salivary.gland	smooth.muscle	lung	ovary	pancreas	cerebral.cortex	small.intestine	heart.muscle
P1_I1_M21	0.216509230936629	-0.101715228667957	0.0177798993950854	-0.10959761181428	-0.178747620448612	0.161185381534336	-0.00502208679784468	-0.0191609864506634	-0.0278899392161208	-0.0141056804215441	0.0882554106446688	-0.303678813689383	-0.0172975156991734	0.0226962593678722	-0.0179257886835565	-0.113872212810762	-0.0798762929441781	-0.00719519877501695	-0.141072254190979	0.140847695916335	0.256031685644986	-0.194745343255927	0.0703057326908608	0.0511323805627636	0.0998062944069302	0.30653357800589	0.0309083000428385	-0.00948203987816766	0.0998468874608681	-0.160405124806033	0.033185094436497	-0.0499361119424202	0.585528691452955	-0.23127765650877	-0.150097384096837	-0.0685526796485018	-0.178898951752788
P1_I1_M34	-0.0451347051591967	-0.0423846115830183	-0.0382917743061913	-0.0427999918790427	-0.0506142319608238	-0.0259429851024013	-0.0302461447211585	-0.0170017032591564	-0.0344185573219184	0.00149337453905457	-0.0367605345513651	0.123377267506595	-0.0340388431429706	-0.0127892569688653	-0.037695109686164	-0.0346592932536452	-0.0446992721540607	-0.019891746477868	-0.0274427323999644	-0.00997795645571282	-0.0199046346251702	-0.0444405685933518	-0.0438831521740809	-0.0396550695923854	-0.0495547721784838	0.972045876428863	-0.0240262666659571	-0.0218219558449589	-0.0185371048929788	-0.016221916056405	-0.01949760022984	-0.023744200983651	-0.0229921692340989	-0.0492951741116783	-0.0351429364931773	-0.0431098565563946	-0.0402996898583768
P1_I1_M10	-0.0513253410103374	-0.0409969444261803	-0.0456621547215024	-0.0372830338777558	-0.0663631981314302	-0.0396780376338058	-0.0234481338760344	-0.0241800634501728	-0.0449783498204431	-0.030375491587361	0.909692005848597	0.288926530186045	0.157076433104311	-0.0146780708796874	-0.0440641591105542	-0.0569098783116616	-0.0453217662808191	-0.0181621436289261	-0.0393844193810318	-0.0262812148275846	-0.0293088478620068	-0.0673434093902329	-0.037864077839639	-0.0604479527623181	-0.0125010550093946	0.0153240878082742	-0.0414722660640582	-0.0535199887292693	-0.0392599134438228	-0.0503320088810434	-0.0427421536394841	-0.0266719460228462	-0.0540376561459949	-0.0701466932956467	-0.0348237634458022	-0.0415473195950139	-0.0599076038653667
P1_I1_M20	-0.0493151874114564	-0.028290937813666	-0.0404432645634833	-0.0413465673151407	-0.0584314173146314	-0.0411476749266654	-0.019366174830488	-0.0368527391107233	-0.0392423441247749	-0.024103433217773	0.105721118398186	0.149693060414554	0.950141274458121	-0.036406125132352	-0.0417701567983087	-0.0488982455283657	-0.0343477179103663	-0.0169756698631969	-0.0432969207971329	-0.0214556322744364	-0.0263792096278763	-0.0561479589807755	-0.0471234007390054	-0.0475482446711553	0.092635302810761	-0.0238732804656451	-0.0425285099768147	-0.0494113562873382	-0.0365319410939995	-0.0369967092294993	-0.0417218146659945	-0.0278165341935427	-0.0458991141887209	-0.0601236718232071	-0.0442699680815296	-0.0363655881502663	-0.0537632449732894
P1_I1_M28	-0.0344100438623287	-0.0469668567188236	-0.00320029139822886	-0.0209788533249928	-0.0697094896218401	-0.0236549407652552	-0.0108393606206561	-0.0309392730403049	-0.0375132517504549	-0.000458528809321918	-0.0406936825583708	0.107112109123531	-0.0329277440444265	-0.0223194533110764	-0.031758696361188	-0.0297348687052457	-0.0465431189388523	0.0103735558871728	-0.037261763605544	-0.00474830586971283	-0.013275779426285	-0.0436540526511912	-0.0206258041191574	-0.0377648606472148	-0.0492626417566051	-0.0240748972703701	-0.0354007167997856	-0.0344259873310988	-0.00911470040780731	-0.0607715304073654	-0.0116578282042547	0.971240071998372	-0.0354561391652725	-0.0722629362552652	-0.0266890882836119	-0.0357696917967119	-0.0538605591804554
P1_I1_M7	0.516992250856084	-0.0484197614583101	0.366829007761198	-0.0872748618906732	-0.147295153111967	-0.0549172885752138	0.0292594076722423	-0.0861678917256416	-0.061285529060758	0.0415353785076999	-0.0762976071546293	0.279970602429693	-0.0812315997979389	-0.0718694402995404	-0.048926017316456	-0.111240579926029	-0.0466192464453455	0.00635454612749637	-0.0817953319317113	-0.0579812387999794	-0.0595163096340106	-0.114754758446545	0.464133004111255	0.120219517256404	0.264816449756434	-0.0754797319408605	-0.105199299037079	-0.0779471205204575	-0.0746047111365457	-0.125408356240793	-0.0289541328882921	0.0967575225601437	-0.0938466055910039	-0.156752513241433	-0.0778969215775892	-0.00805640351951388	-0.127129275770335
P1_I1_M14	0.0388231848276135	-0.0506116370719841	0.0955598378413522	-0.0505513394774295	-0.0885838017582082	-0.0330761594220146	-0.0220207237533382	-0.0576135419410194	-0.0524461695425766	0.00243994475226661	-0.0369948678097221	0.353458876049517	-0.0471836475488387	-0.0440918529762966	-0.0507025058323041	-0.067749114429245	-0.0422332358812208	0.00630671633759748	-0.0304940728371836	-0.0416500056261197	-0.0453183918166909	-0.073686509027933	0.0792857581072449	0.878292549758618	-0.015774700695478	-0.053161204121459	-0.0664218323353984	-0.0499166542642019	-0.0462766439068845	-0.0835851707043996	-0.0212223319880649	0.0221757444600622	-0.0586121622716587	-0.0956369156947373	-0.0381934004442059	-0.0335441583569003	-0.0789898605987581
P1_I1_M16	-0.0371816437320073	-0.0400614315310603	-0.0313361076706438	-0.0209972643380153	-0.0506257166494471	-0.0231582750676018	-0.0346521794509174	0.00677167705826165	-0.0399824547691596	-0.0258701012739846	-0.0402701943415959	0.152869878932848	-0.0413348095495502	-0.0258374121153111	-0.0390109382366864	-0.0222242854846532	-0.040686475557125	-0.0238216422854351	-0.00761375012663971	-0.0163723380633923	-0.0163890562882509	-0.045525405911288	-0.0349151355312023	-0.0481155706198449	-0.043282715493519	-0.0317685479784713	0.966733804944576	-0.0320438219467749	-0.013053580335028	-0.0522048038803964	-0.0261380348209166	-0.0236001511051383	-0.0300666793520004	-0.057799707058271	-0.0252743224086852	-0.0381297147485851	-0.0470310932140867
P1_I1_M15	-0.0395879918462305	-0.0545665364714284	-0.0166687408901271	-0.0320442939983856	-0.0719637378014786	0.00120636089116927	-0.00897033596710831	-0.0227557898613741	-0.0471713890276835	0.0149092082445178	-0.0427549182816846	0.180865683155829	-0.0381538899233166	-0.0271811129835731	-0.0461386405848824	-0.0328819686387722	-0.0529125307594131	0.952284585082456	-0.0213576476115629	-0.00373640904541471	-0.0219034373191358	-0.0560983621543703	-0.0200141980339712	-0.0671570818877673	-0.0572176900132468	-0.0297750655223242	-0.0444586192839549	-0.018858191292947	-0.0170500503301355	-0.0734002712044087	0.015519366447514	0.0410754767851834	-0.0339662393661294	-0.0830814304359045	-0.0362116086479025	-0.045263993968876	-0.0425585074531595
P1_I1_M23	-0.0529359055745397	-0.0551901964428515	-0.0418551247924885	0.009339544172452	-0.0619219089196354	-0.0143684625848978	-0.0417544815999873	-0.0186738771642342	-0.0522288928214532	-0.0160871862125143	-0.0443295504394306	0.121776567764314	-0.0537047722298498	-0.0021435716849066	-0.047820704066995	-0.0216756897048324	-0.0477586459405169	-0.0181682242483762	0.0180601603607612	-0.0271405235563717	-0.00959463036892366	-0.0312380052230027	-0.0225936098233204	-0.0693775836350174	-0.0633193273440466	-0.0363282707411817	-0.0286773180615504	0.961315916086169	0.000560643092299227	-0.0795321591569306	-0.0238039673444171	-0.0149793640519004	0.0262548747498226	-0.0817668402497173	0.0367957240953816	-0.0432701995604153	-0.0518644367768948
P1_I1_M27	-0.0518753424344349	-0.0183841046595277	-0.0356722664134621	-0.0214189260401196	-0.0793136275417076	-0.0229389086060623	-0.0218221979660252	-0.00712610151282177	-0.0244928965512274	-0.0287728747297493	-0.0405863621147275	0.266689993897673	-0.0332053947386308	0.935620545644793	-0.0200628602015055	-0.0327240171106353	-0.0383407030736254	-0.0303184251331349	-0.0241472648722194	-0.0166571299946605	-0.0208001258726512	-0.0602416434692295	-0.0265467322940764	-0.0524320647762765	-0.0546014432924006	-0.00690859645341717	-0.0265170495415001	-0.0438546005745336	-0.021945612195763	-0.0595897765580099	-0.0276059439235408	-0.0361582587710377	-0.0435670019856476	-0.0855201057930144	-0.00379030201155899	-0.0275701997569497	-0.0568016785785813
P1_I1_M18	-0.114015237562574	-0.131529078411024	-0.00208388115013718	-0.0227291712272128	-0.181553047899964	0.425310264035477	0.0585244411045574	0.294336215637768	-0.0754893756622091	0.162464399394284	-0.0829566883758643	0.00778337892173919	0.0246483904682705	0.188163590440353	-0.0637398868514177	-0.095150271637523	-0.131940437946503	0.12688532306408	-0.0714813020259399	0.229547217145056	0.128416459964334	-0.183459230630034	-0.0514300256832289	-0.183719539381647	-0.142730293121427	-0.033286407086551	-0.0391652593413633	-0.0477106069262005	-0.0088830347073634	-0.176888088717013	0.511209092164074	0.0351928456818007	0.112622859206572	-0.21265732663142	-0.0634127847362695	-0.104830065246104	-0.0842634362693764
P1_I1_M22	-0.037781924207924	-0.0588766072585549	-0.0231189173689322	0.0400468548166604	-0.139062326413228	0.0283308273900417	-0.0363513152446324	0.00581904327238143	-0.06269306770331	0.00714447847760566	-0.0489452346565441	0.138883640008764	-0.0508657683908893	0.0288546162891113	-0.045327937275884	-0.00684730367083398	-0.0731485554651402	0.0189632930393719	-0.0152846065469616	0.0375383227297103	0.0315589413531034	-0.080397604237878	-0.0209683372614621	-0.0852316480478663	-0.0657935202015689	-0.011551528122727	0.0253043986766027	-0.036660025433083	0.929081637249998	-0.11584649183693	0.00289271477558349	0.0176464144787305	-0.00856345411201483	-0.146434921850471	0.0128989137690497	-0.0594447703637444	-0.0957682306561337
P1_I1_M8	-0.0629541592936343	-0.0726893503791517	-0.0484925977747289	0.873227377209714	-0.129776298643967	0.0264551288117629	-0.053552605359071	0.00760738945453056	-0.0699016530633584	-0.0041104177417204	-0.036896482275984	0.23346271075174	-0.0511443892564281	0.0485115463172144	-0.0513851492840537	0.000981540251037905	-0.069328664530819	0.0101788642178152	0.0520563034243216	0.0148214490103393	0.0315221541658255	-0.11672981576094	-0.027621714389097	-0.116327916472072	-0.0885629314465111	-0.0202710618438176	-0.0261080129040123	-0.00655264540692229	0.130027470880883	-0.144984780113066	0.0107225441814706	0.00436355935464519	-0.00365013614815914	-0.182359211635788	0.0893248531004951	-0.0554808773493279	-0.094382020059166
P1_I1_M13	-0.0626132420264519	-0.125797013747215	-0.0438960394123413	0.294082445754777	-0.198773096695385	0.134293850638127	-0.0534092828557735	0.0890415840151628	-0.0992116464804269	0.0246527593622798	-0.0500091370488655	-0.0356579352515265	-0.0428702242955918	0.142023535916587	-0.0776531210197873	-0.00382656178080282	-0.123134192013593	0.0565741139367724	0.0953787949629231	0.0713085141723121	0.121573689916565	-0.208083898725542	-0.0157325476507063	-0.183303566945429	-0.114248037272878	-0.0173550900842461	0.0204706038709345	0.0879453524927959	0.238443747273111	-0.242419562460371	0.114779865596961	0.0281689496446435	0.0575280817254383	-0.305608647651513	0.624167077095124	-0.0962337795560312	-0.100596343400035
P1_I1_M4	0.0614863075188884	-0.140420559139743	0.0292619429372352	0.356801050360123	-0.312312917422052	0.201168247415915	-0.0377912832095495	0.0544301438236408	-0.102894115974784	0.0515458034091418	-0.0202663397227236	-0.0132365136518798	-0.0555432697702496	0.138192029244326	-0.0380882921474865	-0.0440777107287761	-0.129801726653513	0.125452520567749	0.260227998702258	0.0982938152185008	0.16200051627254	-0.253091467663489	0.0585957707826934	-0.144736865105936	-0.0282469342051921	0.0305000171770842	0.0305096998336734	0.0155461909274993	0.290364571101004	-0.314995029475145	0.139582243956587	0.0485277305409558	0.0851036713866422	-0.398747509411268	0.107094877328159	-0.0931034988971156	-0.217331115325714
P1_I1_M6	-0.0199826215891185	-0.121707132139032	-0.0354000542096302	0.30212582941459	-0.240710444630648	0.162816032914158	-0.0623007441472912	0.0356133067557851	-0.115319807609354	0.0156565947240225	-0.0247064585819367	0.557394614748097	-0.0780094868217479	0.118311539059064	-0.0717360348424029	-0.044982575188293	-0.127937766440035	0.0387572838921428	0.257620185938217	0.0646310252811975	0.131191084709457	-0.208522906992374	0.0125981146998405	-0.175047948481207	-0.0910530746127799	0.0137465835548771	0.011969986238722	-0.00570280473164261	0.22516195585351	-0.239231854969855	0.0764702759034836	0.00610010816565177	0.0995858295257902	-0.296841217128442	0.103502135020231	-0.106362573010614	-0.167696980272434
P1_I1_M5	-0.0490503018972019	-0.05104826267231	-0.038565176279502	-0.00831237534679537	-0.0605363858804615	-0.00630252790652212	-0.0446826762978915	-0.0103381736858957	-0.0502600818375037	-0.0197143412054124	-0.0362374284544331	0.289230254231818	-0.0421788456811156	-0.00683914982955445	-0.0504493997299305	-0.0386154123195701	-0.0493453651453865	-0.0338748483310031	0.0100260809006176	-0.0207231264437326	-0.0130334393285755	-0.0696754710788299	-0.0320057878764607	-0.0650789492290179	-0.0613415843710105	-0.0437950556832276	-0.0344600266879865	0.0201735750420427	-0.015839927769287	-0.0681160359259835	-0.010810514389672	-0.0267579245054405	-0.0237710021252557	-0.0785370204055467	0.925301760843841	-0.0434994392778234	-0.0409356134199804
P1_I1_M17	-0.0541087781929476	-0.051423611702308	-0.0551845597685078	-0.0186322646034429	-0.0667649345271547	-0.0183820030225544	-0.0513549813828983	-0.0318449693145759	-0.0555427619134512	-0.0380750906147641	-0.0403766302799082	0.43974048903829	-0.0513011462855408	-0.0311462145456224	-0.0537931238880499	-0.0435395051038179	-0.056728234895503	-0.0491414960842162	0.1966897380303	-0.0188457070616965	0.832247212498804	-0.0621290121070345	-0.0519075611265612	-0.0610279190508189	-0.0576825775889436	-0.0451530782632083	-0.0234674148016573	-0.0408588863967951	-0.00942399225910891	-0.0592446005490242	-0.0470662244260786	0.0211354062604304	-0.0415205981095237	-0.0661755365573783	-0.0233488834940492	-0.0554281911874425	-0.0591923567232397
P1_I1_M1	-0.0189697507838558	-0.0407009326031966	-0.0221653569603041	0.000681700450691781	-0.0621086219008223	-0.00804479464428003	-0.0373051206520466	-0.0245792878376161	-0.0421514756238088	-0.0233919903272875	-0.016345098096379	0.977640782316457	-0.0390880437534069	-0.0117476980011944	-0.0393612221610021	-0.0342272919903065	-0.0374603598218912	-0.0185531042292858	0.0342710004450003	-0.0223550778137317	-0.00623291501545726	-0.0607544941683804	-0.0114177542530843	-0.0441560475651643	-0.038843656065863	-0.0282459609909989	-0.0290720451455487	-0.0261196558744486	0.000171798761136415	-0.0642716947985858	-0.0227236139924468	-0.0210941958833046	-0.0185835638845561	-0.0752847271044143	0.0215460667504722	-0.033931485285406	-0.0550243114956764
P1_I1_M30	-0.0553317625168607	-0.0551324440474984	-0.0265810741251241	-0.052074566753735	-0.0641924234413715	-0.0112216558707023	-0.0693800119727601	-0.0207528609720797	-0.0554762956116535	-0.038169807814905	-0.0261730510310801	0.805907434601282	-0.061823703739353	0.012084940064845	-0.0668269093302573	-0.0443494326219216	-0.0453965295542826	-0.0139405814949807	0.018401165661614	-0.0179562592958259	-0.0282805041523478	-0.0684845327650558	-0.0262304712239628	-0.0808027910885803	-0.0777013902115602	-0.0442249042623173	-0.0354566144807513	0.4923569656663	-0.0123202818800717	-0.0848021461292015	-0.0432766306340613	-0.0338601720251417	-0.0257583498134631	-0.104540591937532	0.150272610518968	-0.0358854339967784	-0.0526189317177923
P1_I1_M2	-0.0192080115640901	-0.0557581618537067	-0.0285593502776904	0.0115268767058208	-0.0778030814932393	-0.00605127675125846	-0.04389232609579	-0.0302794535560091	-0.0515255144615774	-0.0236687335799271	-0.0312396977204204	0.270008866928051	-0.0418946232908428	-0.0151884690211519	-0.0438147608923641	-0.0390818011672385	-0.0506383631042076	-0.0194030340918666	0.928489786885865	-0.0251273333804753	0.0194039994116942	-0.0753438761014778	-0.0241333685462002	-0.039748754171048	-0.0409956931434331	-0.0308580510782722	-0.0227968763130351	-0.0296424697240104	0.00785034635387407	-0.0874975043045271	-0.0195770256572367	-0.0260034621637	-0.0240158365101661	-0.101336713721641	0.000650975728333354	-0.0462054552367078	-0.0666417730403268
